,TC,ED,ET,WT,brats_name
BraTS2021_00714,0.0,0.24945357981820038,0.13826644998279972,0.5034493665325344,BraTS2021_00714
BraTS2021_00124,0.009636556744294485,0.6103504256582855,0.5052099235147216,0.9310725866347843,BraTS2021_00124
BraTS2021_00250,0.5593451568894953,0.8701846911763202,0.9372865344088366,0.8905342222897027,BraTS2021_00250
BraTS2021_01490,0.00318582175461141,0.2846157395303056,0.2012154787497933,0.5321020930022381,BraTS2021_01490
BraTS2021_01505,0.021362777161030935,0.27390467879172536,0.02311966166348785,0.7948492433980561,BraTS2021_01505
BraTS2021_01500,0.0,0.0876441117884952,0.02201440780348114,0.4216175950950712,BraTS2021_01500
BraTS2021_00800,0.8611430763329497,0.5203627726193046,0.6587287048910057,0.9036724232110593,BraTS2021_00800
BraTS2021_01257,0.009834599910594547,0.1149868429104706,0.176904833483649,0.7114005932064448,BraTS2021_01257
BraTS2021_01268,0.8758487599170895,0.794955056708551,0.8036924390374046,0.8827827817452503,BraTS2021_01268
BraTS2021_01104,0.24548563201151838,0.17894292095044564,0.6962751737658172,0.7492487188296951,BraTS2021_01104
BraTS2021_01610,0.0,0.0,0.0,0.0,BraTS2021_01610
BraTS2021_00478,0.0,0.0,0.0,0.0,BraTS2021_00478
BraTS2021_01332,0.0,0.3480170520604573,0.47099327762769366,0.9326050181433128,BraTS2021_01332
BraTS2021_00680,0.20119352088661552,0.25303302854581294,0.42462036464035796,0.3340078804777221,BraTS2021_00680
BraTS2021_00116,0.0920395752019606,0.5718982226636075,0.5549900018178513,0.9376313368660195,BraTS2021_00116
BraTS2021_00266,0.7185755243700015,0.515985347595716,0.4575527394189666,0.9256992413858618,BraTS2021_00266
BraTS2021_00165,0.7136977399090187,0.5706777096440232,0.4304035503403663,0.885152522942627,BraTS2021_00165
BraTS2021_01550,0.8741452596562558,0.6045380875202593,0.7614615018140507,0.7656579040768521,BraTS2021_01550
BraTS2021_00014,0.0,0.13877920368542285,0.3679274773366677,0.23638584253534958,BraTS2021_00014
BraTS2021_00618,0.90257412838058,0.6228521891184992,0.8327611156825468,0.8160964515419041,BraTS2021_00618
BraTS2021_00645,0.06029579067121729,0.015323302155347702,0.41992709599027944,0.12831776442880202,BraTS2021_00645
BraTS2021_00286,0.5690890481064483,0.3842890451063233,0.33394668788541876,0.7555180439397428,BraTS2021_00286
BraTS2021_01631,0.0,0.18823929367769546,0.2836860102086327,0.7499811538171597,BraTS2021_01631
BraTS2021_00227,0.7749331295376385,0.39441578148710166,0.3837269795026532,0.6768781265217584,BraTS2021_00227
