brats_name,ED,TC,ET,WT
BraTS-GLI-01121-000_AUCseg_cc.nii.gz,0.811,0.1491,0.8709,0.9029
BraTS-GLI-01121-000_AUCseg_t2.nii.gz,0.8272,0.677,0.8709,0.9029
BraTS-GLI-00148-000_AUCseg_cc.nii.gz,0.6869,0,0.8294,0.8424
BraTS-GLI-00148-000_AUCseg_t2.nii.gz,0.6083,0.2076,0.8294,0.8424
BraTS-GLI-00239-000_AUCseg_cc.nii.gz,0.0178,0.814,0.1917,0.8951
BraTS-GLI-00239-000_AUCseg_t2.nii.gz,0.0111,0.8836,0.1917,0.8953
BraTS-GLI-00555-001_AUCseg_cc.nii.gz,0.6328,0.0168,0.6028,0.9059
BraTS-GLI-00555-001_AUCseg_t2.nii.gz,0.6795,0.715,0.6028,0.9059
BraTS-GLI-00806-000_AUCseg_cc.nii.gz,0.2718,0.005,0.7808,0.9048
BraTS-GLI-00806-000_AUCseg_t2.nii.gz,0.3389,0.5748,0.7808,0.9048
BraTS-GLI-00803-000_AUCseg_cc.nii.gz,0.9309,0,0.9132,0.948
BraTS-GLI-00803-000_AUCseg_t2.nii.gz,0.5258,0.0016,0.9132,0.948
BraTS-GLI-01504-000_AUCseg_cc.nii.gz,0.1674,0,0.0003,0.4163
BraTS-GLI-01504-000_AUCseg_t2.nii.gz,0.1979,0.42,0.0003,0.4164
BraTS-GLI-00087-000_AUCseg_cc.nii.gz,0.8323,0.0625,0.4783,0.865
BraTS-GLI-00087-000_AUCseg_t2.nii.gz,0.7701,0.1235,0.4783,0.8649
BraTS-GLI-00539-000_AUCseg_cc.nii.gz,0.2391,0.0013,0.2616,0.3042
BraTS-GLI-00539-000_AUCseg_t2.nii.gz,0.1895,0.1127,0.2616,0.304
BraTS-GLI-00496-000_AUCseg_cc.nii.gz,0,0,0,0
BraTS-GLI-00496-000_AUCseg_t2.nii.gz,0,0,0,0
BraTS-GLI-01260-000_AUCseg_cc.nii.gz,0.8088,0.068,0.9127,0.9073
BraTS-GLI-01260-000_AUCseg_t2.nii.gz,0.4745,0.2738,0.9127,0.9073
