acdc_name,2d:dil0,3d:dil0,2d:dil1,3d:dil1,2d:dil2,3d:dil2,2d:dil3,3d:dil3
patient001_frame01,0,0,0,1,0,1,0,1
patient002_frame01,1,0,1,1,1,1,1,1
patient003_frame01,0,0,1,1,1,1,1,1
patient004_frame01,1,0,1,0,1,0,1,1
patient005_frame01,1,0,1,1,1,1,1,1
patient006_frame01,0,0,0,0,0,0,0,1
patient007_frame01,1,0,1,1,1,1,1,1
patient008_frame01,1,0,1,0,1,1,1,1
patient009_frame01,0,0,0,1,0,1,0,1
patient010_frame01,1,0,1,0,1,0,1,1
patient011_frame01,0,0,1,0,1,1,1,1
patient012_frame01,1,0,1,0,1,1,1,1
patient013_frame01,1,0,1,0,1,1,1,1
patient014_frame01,1,0,1,0,1,1,1,0
patient015_frame01,1,0,1,0,1,1,1,1
patient016_frame01,1,0,1,1,1,0,1,0
patient017_frame01,1,0,1,0,1,0,1,1
patient018_frame01,1,0,1,0,1,0,1,0
patient019_frame01,1,0,0,0,0,0,0,1
patient020_frame01,1,0,1,0,1,0,1,1
patient021_frame01,1,0,1,1,1,1,0,1
patient022_frame01,1,0,1,1,1,1,0,1
patient023_frame01,0,0,0,1,0,1,0,1
patient024_frame01,1,0,1,1,0,1,0,1
patient025_frame01,1,0,1,1,1,1,1,1
patient026_frame01,1,0,1,1,1,1,1,1
patient027_frame01,1,0,1,1,1,1,0,1
patient028_frame01,0,0,0,1,0,1,0,1
patient029_frame01,0,0,0,0,0,1,0,1
patient030_frame01,0,0,0,0,0,0,0,1
patient031_frame01,1,0,1,1,1,1,1,1
patient032_frame01,1,0,1,1,1,1,0,1
patient033_frame01,0,0,0,0,0,0,0,1
patient034_frame01,0,0,0,1,0,1,0,1
patient035_frame01,1,0,1,1,1,1,1,1
patient036_frame01,1,0,1,0,1,0,1,1
patient037_frame01,0,0,0,1,0,1,0,1
patient038_frame01,1,0,1,1,1,1,1,1
patient039_frame01,1,0,1,0,1,0,0,0
patient040_frame01,0,0,0,0,0,1,0,1
patient041_frame01,1,0,1,1,1,1,1,1
patient042_frame01,1,0,1,0,1,1,1,1
patient043_frame01,1,0,1,1,1,1,0,1
patient044_frame01,1,0,1,1,0,1,0,1
patient045_frame01,1,0,1,0,1,0,1,1
patient046_frame01,1,0,1,1,1,1,1,1
patient047_frame01,0,0,0,0,0,0,0,0
patient048_frame01,1,0,1,0,1,1,1,1
patient049_frame01,0,0,0,0,0,0,0,1
patient050_frame01,1,0,1,1,1,0,1,1
patient051_frame01,1,0,1,0,1,0,0,0
patient052_frame01,0,0,1,0,1,1,1,0
patient053_frame01,1,0,1,1,1,1,1,1
patient054_frame01,1,0,1,1,1,1,1,1
patient055_frame01,1,0,1,0,1,1,1,0
patient056_frame01,1,0,1,0,1,0,1,0
patient057_frame01,1,0,1,1,1,1,1,1
patient058_frame01,1,0,1,1,1,1,1,0
patient059_frame01,1,0,1,0,1,0,1,0
patient060_frame01,1,0,1,0,1,1,1,1
patient061_frame01,0,0,0,0,0,0,0,1
patient062_frame01,1,0,1,1,0,1,0,1
patient063_frame01,1,0,1,1,1,0,1,1
patient064_frame01,0,0,0,1,0,1,0,1
patient065_frame01,1,0,1,1,1,1,1,1
patient066_frame01,0,0,1,0,1,1,1,1
patient067_frame01,1,0,1,1,1,1,1,1
patient068_frame01,1,0,1,0,1,1,1,1
patient069_frame01,1,0,1,0,1,1,1,1
patient070_frame01,1,0,1,0,1,1,1,1
patient071_frame01,1,0,1,0,0,0,0,1
patient072_frame01,0,0,0,1,0,1,0,1
patient073_frame01,1,0,1,1,1,1,1,1
patient074_frame01,1,0,1,1,1,1,1,0
patient075_frame01,1,0,1,1,1,1,1,1
patient076_frame01,1,0,1,1,1,1,1,1
patient077_frame01,1,0,1,0,1,1,0,1
patient078_frame01,1,0,1,0,1,0,1,1
patient079_frame01,1,0,1,1,1,1,1,1
patient080_frame01,1,0,1,1,1,1,1,1
patient081_frame01,1,0,1,0,1,0,1,0
patient082_frame01,1,0,1,1,1,1,1,1
patient083_frame01,1,0,1,1,1,1,1,1
patient084_frame01,1,0,1,0,1,1,1,1
patient085_frame01,0,0,0,0,0,0,0,0
patient086_frame01,0,0,0,0,0,1,0,1
patient087_frame01,1,0,1,0,1,1,1,0
patient088_frame01,0,0,1,1,1,0,0,0
patient089_frame01,1,0,1,1,1,1,1,1
patient090_frame04,1,0,1,0,1,1,1,1
patient091_frame01,1,0,1,0,0,0,0,0
patient092_frame01,0,0,0,0,0,1,0,1
patient093_frame01,0,0,0,0,0,0,0,1
patient094_frame01,1,0,1,0,1,0,1,0
patient095_frame01,1,0,1,0,1,0,1,1
patient096_frame01,1,0,1,0,1,0,1,1
patient097_frame01,1,0,1,1,1,1,1,1
patient098_frame01,1,0,1,1,1,1,1,1
patient099_frame01,1,0,1,0,1,1,0,1
patient100_frame01,0,0,0,0,0,0,0,1
patient101_frame01,1,0,1,0,1,1,1,0
patient102_frame01,0,0,0,0,0,0,0,1
patient103_frame01,0,0,0,1,0,1,0,1
patient104_frame01,1,0,1,0,1,1,1,1
patient105_frame01,0,0,0,0,0,0,0,1
patient106_frame01,1,0,1,0,1,0,1,1
patient107_frame01,1,0,1,0,0,0,0,1
patient108_frame01,1,0,1,1,1,1,1,1
patient109_frame01,1,0,1,0,1,0,1,1
patient110_frame01,1,0,1,1,1,0,1,1
patient111_frame01,1,0,1,1,1,1,1,1
patient112_frame01,1,0,1,0,1,1,1,1
patient113_frame01,1,0,1,0,1,0,1,1
patient114_frame01,0,0,0,0,0,0,0,1
patient115_frame01,0,0,0,0,0,1,0,1
patient116_frame01,0,0,0,1,0,0,0,1
patient117_frame01,1,0,1,0,1,0,1,0
patient118_frame01,1,0,1,1,1,1,1,0
patient119_frame01,0,0,0,0,0,0,0,1
patient120_frame01,0,0,0,0,0,1,0,1
patient121_frame01,1,0,1,1,1,1,1,1
patient122_frame01,1,0,1,0,0,0,0,0
patient123_frame01,0,0,0,1,0,1,0,1
patient124_frame01,0,0,0,0,0,0,0,1
patient125_frame01,1,0,1,0,1,0,1,1
patient126_frame01,0,0,0,0,0,0,0,1
patient127_frame01,0,0,0,1,0,0,0,1
patient128_frame01,1,0,1,0,1,0,1,1
patient129_frame01,1,0,1,0,1,0,0,0
patient130_frame01,1,0,1,0,1,0,1,1
patient131_frame01,1,0,1,0,1,0,1,1
patient132_frame01,1,0,1,0,1,0,0,1
patient133_frame01,1,0,1,1,1,1,1,1
patient134_frame01,0,0,0,0,0,1,0,1
patient135_frame01,1,0,1,0,1,1,1,1
patient136_frame01,1,0,1,0,1,1,1,1
patient137_frame01,0,0,0,0,0,0,0,1
patient138_frame01,1,0,1,1,1,1,1,1
patient139_frame01,1,0,1,0,1,0,1,1
patient140_frame01,0,0,0,0,0,0,0,0
patient141_frame01,0,0,0,0,0,0,0,1
patient142_frame01,1,0,1,0,1,0,1,0
patient143_frame01,1,0,1,0,1,1,1,0
patient144_frame01,1,0,1,0,1,0,1,1
patient145_frame01,0,0,0,0,0,1,0,1
patient146_frame01,1,0,1,1,0,1,0,1
